shipping_sku,country_code,postcode
9000435-015,CZ,34520
9000435-015,CZ,34521
9000435-015,CZ,34522
9000435-015,CZ,34525
9000435-015,CZ,34526
9000435-015,CZ,34531
9000435-015,CZ,34532
9000435-015,CZ,34533
9000435-015,CZ,34534
9000435-015,CZ,34535
9000435-015,CZ,34543
9000435-015,CZ,34544
9000435-015,CZ,34545
9000435-015,CZ,34546
9000435-015,CZ,34547
9000435-015,CZ,34561
9000435-015,CZ,34562
9000435-015,CZ,34601
9000435-015,CZ,34806
9000435-015,CZ,34806
9000435-015,CZ,34808
9000435-015,CZ,34809
9000435-015,CZ,34811
9000435-015,CZ,34812
9000435-015,CZ,34816
9000435-015,CZ,34951
9000435-015,CZ,34952
9000435-015,CZ,34953
9000435-015,CZ,34953
9000435-015,CZ,34956
9000435-015,CZ,34957
9000435-015,CZ,34962
9000435-015,CZ,34972
9000435-015,CZ,35131
9000435-015,CZ,36452
9000435-015,CZ,37302
9000435-015,CZ,37304
9000435-015,CZ,37311
9000435-015,CZ,37311
9000435-015,CZ,37312
9000435-015,CZ,37314
9000435-015,CZ,37315
9000435-015,CZ,37321
9000435-015,CZ,37322
9000435-015,CZ,37331
9000435-015,CZ,37332
9000435-015,CZ,37333
9000435-015,CZ,37334
9000435-015,CZ,37335
9000435-015,CZ,37336
9000435-015,CZ,37341
9000435-015,CZ,37343
9000435-015,CZ,37346
9000435-015,CZ,37347
9000435-015,CZ,37348
9000435-015,CZ,37349
9000435-015,CZ,37350
9000435-015,CZ,37351
9000435-015,CZ,37365
9000435-015,CZ,37366
9000435-015,CZ,37384
9000435-015,CZ,37401
9000435-015,CZ,37802
9000435-015,CZ,37803
9000435-015,CZ,37804
9000435-015,CZ,37805
9000435-015,CZ,37806
9000435-015,CZ,37808
9000435-015,CZ,37809
9000435-015,CZ,37810
9000435-015,CZ,37816
9000435-015,CZ,37817
9000435-015,CZ,37818
9000435-015,CZ,37821
9000435-015,CZ,37824
9000435-015,CZ,37825
9000435-015,CZ,37826
9000435-015,CZ,37831
9000435-015,CZ,37832
9000435-015,CZ,37843
9000435-015,CZ,37846
9000435-015,CZ,37852
9000435-015,CZ,37855
9000435-015,CZ,37858
9000435-015,CZ,37861
9000435-015,CZ,37871
9000435-015,CZ,37872
9000435-015,CZ,37873
9000435-015,CZ,38206
9000435-015,CZ,38208
9000435-015,CZ,38211
9000435-015,CZ,38216
9000435-015,CZ,38218
9000435-015,CZ,38221
9000435-015,CZ,38222
9000435-015,CZ,38223
9000435-015,CZ,38226
9000435-015,CZ,38229
9000435-015,CZ,38272
9000435-015,CZ,38273
9000435-015,CZ,38276
9000435-015,CZ,38278
9000435-015,CZ,38279
9000435-015,CZ,38281
9000435-015,CZ,38282
9000435-015,CZ,38283
9000435-015,CZ,38291
9000435-015,CZ,38292
9000435-015,CZ,38293
9000435-015,CZ,38401
9000435-015,CZ,38402
9000435-015,CZ,38403
9000435-015,CZ,38404
9000435-015,CZ,38421
9000435-015,CZ,38422
9000435-015,CZ,38425
9000435-015,CZ,38426
9000435-015,CZ,38427
9000435-015,CZ,38432
9000435-015,CZ,38433
9000435-015,CZ,38441
9000435-015,CZ,38442
9000435-015,CZ,38443
9000435-015,CZ,38444
9000435-015,CZ,38451
9000435-015,CZ,38462
9000435-015,CZ,38472
9000435-015,CZ,38473
9000435-015,CZ,38486
9000435-015,CZ,38491
9000435-015,CZ,38492
9000435-015,CZ,38493
9000435-015,CZ,38501
9000435-015,CZ,38715
9000435-015,CZ,38716
9000435-015,CZ,38719
9000435-015,CZ,38731
9000435-015,CZ,38732
9000435-015,CZ,38733
9000435-015,CZ,38734
9000435-015,CZ,38735
9000435-015,CZ,38736
9000435-015,CZ,38737
9000435-015,CZ,38742
9000435-015,CZ,38771
9000435-015,CZ,38772
9000435-015,CZ,38773
9000435-015,CZ,39118
9000435-015,CZ,39120
9000435-015,CZ,39127
9000435-015,CZ,39131
9000435-015,CZ,39132
9000435-015,CZ,39133
9000435-015,CZ,39135
9000435-015,CZ,39136
9000435-015,CZ,39137
9000435-015,CZ,39142
9000435-015,CZ,39143
9000435-015,CZ,39152
9000435-015,CZ,39153
9000435-015,CZ,39155
9000435-015,CZ,39155
9000435-015,CZ,39156
9000435-015,CZ,39171
9000435-015,CZ,39172
9000435-015,CZ,39173
9000435-015,CZ,39175
9000435-015,CZ,39491
9000435-015,CZ,39492
9000435-015,CZ,39493
9000435-015,CZ,39496
9000435-015,CZ,39801
9000435-015,CZ,39804
9000435-015,CZ,39806
9000435-015,CZ,39807
9000435-015,CZ,39816
9000435-015,CZ,39817
9000435-015,CZ,39819
9000435-015,CZ,39821
9000435-015,CZ,39822
9000435-015,CZ,39832
9000435-015,CZ,39833
9000435-015,CZ,39834
9000435-015,CZ,39835
9000435-015,CZ,39847
9000435-015,CZ,39848
9000435-015,CZ,39852
9000435-015,CZ,39853
9000435-015,CZ,39854
9000435-015,CZ,39855
9000435-015,CZ,39858
9000435-015,CZ,39859
9000435-015,CZ,40301
9000435-015,CZ,40327
9000435-015,CZ,40723
9000435-015,CZ,40724
9000435-015,CZ,40725
9000435-015,CZ,40729
9000435-015,CZ,40741
9000435-015,CZ,40742
9000435-015,CZ,40784
9000435-015,CZ,41119
9000435-015,CZ,41145
9000435-015,CZ,41781
9000435-015,CZ,43102
9000435-015,CZ,43114
9000435-015,CZ,43121
9000435-015,CZ,43132
9000435-015,CZ,43143
9000435-015,CZ,43153
9000435-015,CZ,43154
9000435-015,CZ,43155
9000435-015,CZ,43156
9000435-015,CZ,43157
9000435-015,CZ,43158
9000435-015,CZ,43159
9000435-015,CZ,43182
9000435-015,CZ,43183
9000435-015,CZ,43184
9000435-015,CZ,43186
9000435-015,CZ,43191
9000435-015,CZ,43545
9000435-015,CZ,43546
9000435-015,CZ,43547
9000435-015,CZ,43903
9000435-015,CZ,43904
9000435-015,CZ,43905
9000435-015,CZ,43906
9000435-015,CZ,43907
9000435-015,CZ,43908
9000435-015,CZ,43909
9000435-015,CZ,43914
9000435-015,CZ,43915
9000435-015,CZ,43922
9000435-015,CZ,43931
9000435-015,CZ,43963
